event_id,event_name,date,year,country,state,city
1838,Spring Fechten 2023,May 20,2023,United States,Oklahoma,Oklahoma City
1933,Nederlandse HEMA Kampioenschappen 2023: Evenement: 1,May 20,2023,Netherlands,-,Utrecht
1824,Joštuv Pohár 2023,May 20,2023,Czech Republic,-,Brno
1843,AHMA Cub 2023,May 20,2023,Finland,-,Jyväskylä
1813,Brunner Stich 2023,May 13,2023,Czech Republic,-,-
1811,Intermezzo 2023,May 13,2023,Serbia,-,Belgrade
1880,Trofeo Turoqua 2023,May 13,2023,Spain,-,Pontevedra
1853,Iluro Pugnare 2023,May 13,2023,Spain,-,Mataró
1893,Steel Jam I Spring Bash 2023,May 13,2023,United States,Florida,Winter Park
1848,SwordStrong KC 2023,May 6,2023,United States,Missouri,Kansas City
1826,Žilinsky Punk I. 2023,May 6,2023,Slovakia,-,Žilina
1836,IHFL Longsword Tournament - Cork 2023,May 6,2023,Ireland,-,Cork
1845,AG Open 2023,May 5,2023,United States,Michigan,Plymouth
1961,Arnold South America 2023,May 3,2023,Brazil,-,São Paulo
1918,Swordwork Smallsword Tournament,April 26,2023,Australia,Queensland,Brisbane
1839,Aegis Spring Tournament 2023,April 23,2023,United States,Texas,Leander
1881,Sydney Super Series 2023,April 23,2023,Australia,-,Sydney
1873,Wasaslaget 2023,April 22,2023,Sweden,-,Uppsala
1816,Alberio Kalavijas 2023,April 22,2023,Lithuania,-,Vilnius
1833,Wine Country Sword Crush 2023,April 22,2023,United States,California,Santa Rosa
1863,Green Chapel Tourney 2023,April 22,2023,United States,Nebraska,Papillion
1935,Icebreaker Open 2023,April 21,2023,United States,Minnesota,Minneapolis
1869,Ladies Knight 2023,April 15,2023,United States,New Jersey,Southampton
1840,Arsenal Assault of Arms 2023,April 15,2023,United States,Massachusetts,Watertown
1825,Wolf Call II 2023,April 15,2023,United Kingdom,-,North Hykeham
1823,Ostravská Cepel 2023,April 15,2023,Czech Republic,-,Ostrava
1791,Pražský argument 2023,April 15,2023,Czech Republic,-,Prague
1877,2023 HEMA Union Sword&Buckler,April 9,2023,Taiwan,-,New Taipei City
1807,Tournament of Knightly Arts 2023,April 8,2023,United States,Missouri,Jefferson City
1876,Legend of the Lake Open 2023,April 8,2023,United States,Vermont,Burlington
1775,Krkavcí jarní fechtík 2023,April 1,2023,Czech Republic,-,Prague
1951,The Duelling Arts - Spring Tournament 2023,March 31,2023,Canada,British Columbia,Vancouver
1866,South East Arc Fencing Open 2023,March 25,2023,United States,Georgia,Atlanta
1860,Ordál - HEMA Tournament,March 25,2023,Czech Republic,-,Pardubice
1815,Montpellier Hema Tournament 12,March 25,2023,France,-,Montpellier
1810,Ides of March 2023,March 25,2023,Australia,Victoria,Melbourne
1872,X Torneo Cidade de Naron de Esgrima Histórica 2023,March 25,2023,Spain,Galicia,Naron
1800,Hema Peru Open 2023,March 18,2023,Peru,Lima,Lima
1808,Schnegel Fechten 2023,March 18,2023,United States,Texas,Dallas
1805,Ascalon Sword Festival 2023,March 17,2023,United States,Ohio,Columbus
1819,DMCA Friendly Open Longsword Tournament 2023,March 11,2023,United Kingdom,-,Durham
1790,Žilinský Kumšt VI,March 11,2023,Slovakia,-,Žilina
